157
Karachi	67.01	24.86
Lahore	74.3436	31.5497
Faisalabad	73.079	31.418
Rawalpindi	73.0679	33.6007
Gujranwala	74.1833	32.15
Peshawar	71.5	34
Multan	71.4711	30.1978
SaiduSharif	72.3572	34.75
HyderabadCity	68.3683	25.3792
Islamabad	73.0369	33.6989
Quetta	67.007	30.192
Bahawalpur	71.6722	29.3956
Sargodha	72.6711	32.0836
SialkotCity	74.5333	32.5
Sukkur	68.8673	27.6995
Larkana	68.2264	27.56
Chiniot	72.9833	31.7167
Shekhupura	74	31.7083
JhangCity	72.3181	31.2681
DeraGhaziKhan	70.6333	30.05
Gujrat	74.0789	32.5736
RahimyarKhan	70.2952	28.4202
Kasur	74.45	31.1167
Mardan	72.0447	34.1958
Mingaora	72.36	34.7717
Nawabshah	68.41	26.2442
Sahiwal	73.1064	30.6706
MirpurKhas	69.0111	25.5269
Okara	73.4597	30.81
MandiBurewala	72.6833	30.15
Jacobabad	68.4514	28.2769
Saddiqabad	70.1302	28.3006
Kohat	71.4414	33.5869
Muridke	74.255	31.802
Muzaffargarh	71.1933	30.0703
Khanpur	70.662	28.6471
Gojra	72.6833	31.15
MandiBahauddin	73.4917	32.5861
Abbottabad	73.2167	34.15
Turbat	63.0544	26.0031
Dadu	67.775	26.7319
Bahawalnagar	73.2536	29.9944
Pakpattan	73.4	30.35
TandoAllahyar	68.7167	25.4667
AhmadpurEast	71.2617	29.1453
Vihari	72.3528	30.0419
Jaranwala	73.4194	31.3342
NewMirpur	73.75	33.1333
Kamalia	72.6447	30.7258
KotAddu	70.9644	30.47
Nowshera	71.9747	34.0153
Swabi	72.4667	34.1167
Khushab	72.35	32.2917
DeraIsmailKhan	70.9167	31.8167
Chaman	66.4597	30.921
Charsadda	71.7308	34.1453
Kandhkot	69.3	28.4
Chishtian	72.8578	29.7958
Hasilpur	72.5542	29.6967
AttockKhurd	72.3667	33.7667
Muzaffarabad	73.4711	34.37
Mianwali	71.5436	32.5853
JalalpurJattan	74.2167	32.7667
Bhakkar	71.0667	31.6333
Zhob	69.4486	31.3417
Dipalpur	73.6533	30.6708
Kharian	73.865	32.811
MianChannun	72.3544	30.4397
Bhalwal	72.9028	32.2653
Jamshoro	68.2822	25.4283
Pattoki	73.8528	31.0214
Harunabad	73.1361	29.61
KahrorPakka	71.9167	29.6236
TobaTekSingh	72.4833	30.9667
Samundri	72.9611	31.0639
Shakargarh	75.1583	32.2628
Sambrial	74.3522	32.475
Shujaabad	71.295	29.8803
HujraShahMuqim	73.8219	30.7408
Kabirwala	71.8667	30.4068
Mansehra	73.2	34.3333
LalaMusa	73.9558	32.7006
Chunian	73.9803	30.9639
NankanaSahib	73.7124	31.4492
Bannu	70.6056	32.9889
Pasrur	74.6675	32.2681
Timargara	71.8408	34.8281
Parachinar	70.1008	33.8992
ChenabNagar	72.9167	31.75
Gwadar	62.3225	25.1264
AbdulHakim	72.1278	30.5522
HassanAbdal	72.689	33.8195
Tank	70.3833	32.2167
Hangu	71.0572	33.5281
RisalpurCantonment	71.9989	34.0049
Karak	71.0833	33.1167
Kundian	71.4718	32.4522
Umarkot	69.7361	25.3614
Chitral	71.7889	35.8511
Dainyor	74.3783	35.9206
Kulachi	70.4592	31.9286
Kalat	66.59	29.0258
Kotli	73.9019	33.5156
Gilgit	74.3144	35.9208
Narowal	74.873	32.102
KhairpurMir’s	68.7592	27.5295
Khanewal	71.9321	30.3017
Jhelum	73.7333	32.9333
Haripur	72.9333	33.9942
Shikarpur	68.6382	27.9556
RawalaKot	73.7604	33.8578
Hafizabad	73.688	32.0709
Lodhran	71.6333	29.5383
Malakand	71.9304	34.5656
AttockCity	72.3598	33.7667
Batgram	73.0263	34.6796
Matiari	68.4467	25.5971
Ghotki	69.315	28.0064
NaushahroFiroz	68.1227	26.8401
Alpurai	72.6556	34.9
Bagh	73.7747	33.9803
Daggar	72.4844	34.5111
Leiah	70.9444	30.9646
TandoMuhammadKhan	68.5389	25.1239
Chakwal	72.85	32.93
Badin	68.8383	24.6558
Lakki	70.9123	32.6072
Rajanpur	70.3297	29.1041
DeraAllahyar	68.1667	28.4167
ShahdadKot	67.9068	27.8473
Pishin	67	30.5833
Sanghar	68.9481	26.0464
UpperDir	71.8768	35.2074
Thatta	67.9243	24.7461
DeraMuradJamali	68.2231	28.5466
Kohlu	69.2532	29.8965
Mastung	66.8455	29.7997
Dasu	73.2906	35.2917
Athmuqam	73.8972	34.5717
Loralai	68.5979	30.3705
Barkhan	69.5256	29.8977
MusaKhelBazar	69.8221	30.8594
Ziarat	67.7258	30.3814
Gandava	67.4856	28.6132
Sibi	67.8773	29.543
DeraBugti	69.1585	29.0362
Eidgah	74.8563	35.3471
Uthal	66.6228	25.8072
Khuzdar	66.6434	27.7384
Chilas	74.0967	35.4206
Panjgur	64.0903	26.9644
Gakuch	73.7667	36.1736
QilaSaifullah	68.3598	30.7008
Kharan	65.4167	28.5833
Aliabad	74.6178	36.3078
Awaran	65.2314	26.4568
Dalbandin	64.4062	28.8885
